model,strategy,window_days,review_threshold,escalate_threshold,worst_regret_pct,mean_regret_pct,mean_cost,validation_pr_auc,complexity_rank
xgboost,periodic,90,0.28519258,0.9825915040000001,194.80426184936383,158.5252159973504,25.73898468502236,0.5221895821524528,8
logistic,static,static,0.8668257348000002,0.998064654,194.8999774670304,159.1788736287392,25.812167809266242,0.29980075206706824,0
logistic,static,static,0.6939415868,0.998064654,196.03354074503244,159.95452578300524,25.88622197152671,0.29980075206706824,0
lightgbm,periodic,90,0.19470406,0.9850747667999998,198.2457548138405,161.0418827918275,25.982211238982266,0.5599790432242554,7
xgboost,periodic,60,0.19804607600000002,0.9337740240000006,198.7306486630327,156.6981950941449,25.48181102892966,0.5369770874552252,9
xgboost,periodic,60,0.26052362,0.9795413463999998,199.97618241125164,161.84345513874075,26.051721381003045,0.5369770874552252,9
lightgbm,periodic,30,0.1180461,0.9821019563999996,200.12465635888802,162.11055793365406,26.080256024916828,0.575586320575787,9
xgboost,periodic,30,0.17509768,0.9250720020000003,200.56000039442688,158.7669470898105,25.694290043911618,0.528737951919904,10
lightgbm,periodic,60,0.17080683,0.9849490319999998,201.1788087747728,162.75963264439537,26.140896979663097,0.5849111076212508,8
lightgbm,periodic,90,0.140044736,0.9399534288,201.62538365012517,159.14133307133676,25.723529487669854,0.5599790432242554,7
xgboost,static,static,0.33897233,0.9851027159999999,201.73834045411598,163.414193794445,26.20836752058804,0.4806369510354057,3
xgboost,periodic,90,0.21844927,0.9358547480000023,201.84458727021797,159.73715378166045,25.788585665679207,0.5221895821524528,8
tree,static,static,0.31245035,0.8951512,202.36089335829058,157.85392199332315,25.567823591474216,0.3471017186739269,1
lightgbm,static,static,0.27405822,0.989012444,205.03530873699574,165.73241451648016,26.430823400165266,0.4970771052294929,2
xgboost,static,static,0.26101152,0.9500691480000001,210.4333891571776,166.3309216274905,26.431219171725463,0.4806369510354057,3
tree,static,static,0.3926696,0.99694806,211.3529675761094,169.97526148382784,26.83440981548262,0.3471017186739269,1
lightgbm,static,static,0.198144046,0.9579760072000004,211.59921549021067,167.21089923756773,26.516736548313315,0.4970771052294929,2
logistic,static,static,0.60395485,0.9891213324000001,213.2944234964373,170.0943303298332,26.823610835193026,0.29980075206706824,0
logistic,static,static,0.497300408,0.9674687435999999,213.3605646914096,168.19186927323565,26.606295162535915,0.29980075206706824,0
logistic,static,static,0.60395485,0.998064654,226.20456238667717,180.377398324674,27.831871306638725,0.29980075206706824,0
xgboost,periodic,90,0.21844927,0.9825915040000001,228.36973451737802,181.2430084058928,27.90321633870898,0.5221895821524528,8
xgboost,periodic,30,0.17509768,0.9750373456,228.6685536085465,181.4025461420583,27.917623304016615,0.528737951919904,10
tree,static,static,0.31245035,0.9811374,229.3417718482858,179.70610463437288,27.716126563646327,0.3471017186739269,1
logistic,static,static,0.497300408,0.9891213324000001,230.51106640643374,181.74674778959135,27.933687219903756,0.29980075206706824,0
lightgbm,periodic,30,0.0814797848,0.9821019563999996,231.63834430510838,183.43938594303918,28.112161780201557,0.575586320575787,9
lightgbm,periodic,60,0.12073507600000001,0.9849490319999998,231.9100663343442,183.55847523009157,28.122305414067057,0.5849111076212508,8
xgboost,static,static,0.26101152,0.9851027159999999,232.49005664423444,184.22682223353686,28.191088576257314,0.4806369510354057,3
xgboost,periodic,60,0.19804607600000002,0.9795413463999998,233.41781422466,184.47634346888242,28.207845078366354,0.5369770874552252,9
lightgbm,static,static,0.198144046,0.989012444,233.44383887181118,184.9592817780328,28.262478283536588,0.4970771052294929,2
lightgbm,periodic,90,0.140044736,0.9850747667999998,235.60919562362022,186.3296336613529,28.391261427396355,0.5599790432242554,7
logistic,static,static,0.497300408,0.998064654,241.50328946710923,190.73142729161177,28.818250174728334,0.29980075206706824,0
tree,static,static,0.31245035,0.99694806,247.11336862032795,194.1775598943514,29.14004527177083,0.3471017186739269,1
