model,strategy,window_days,split,block,rows,fraud_rate,pr_auc,recall_at_5pct,precision_at_5pct,cost_per_txn_proxy,uid_known_pr_auc,uid_unknown_pr_auc,train_seconds,updated,device,psi_score,inference_ms_per_txn
lightgbm,periodic,45,holdout,2,20508,0.03510825043885313,0.532758965118169,0.5805555555555556,0.40780487804878046,13.412928341330213,0.5341607161498514,0.5468955185035639,8.455630228000018,1,cpu,0.04979496092560885,0.02232066725180166
lightgbm,periodic,45,holdout,3,17817,0.04130886232250098,0.6640845536171137,0.6589673913043478,0.5449438202247191,17.558128726946176,0.6537449568353441,0.6749142100948271,8.559682285999997,1,cpu,0.03162099734075994,0.022223887467026988
lightgbm,periodic,45,holdout,4,7625,0.041836065573770495,0.6758274751485001,0.6332288401253918,0.5301837270341208,19.931817206557376,0.7071036876367529,0.6616795676244622,8.49124861000007,1,cpu,0.06056965354561915,0.026025146754095584
lightgbm,alert,45,valid,1,18907,0.03929761464008039,0.5990301977803261,0.6123822341857336,0.48148148148148145,12.617116134024435,0.6139437157958265,0.6086663559307623,9.287317453000014,1,cpu,0.0,0.02223255550854563
lightgbm,alert,45,valid,2,18622,0.033293953388465254,0.4858596833361846,0.5838709677419355,0.38882921589688507,13.312652811620664,0.5058652130262818,0.4930846639871909,0.0,0,cpu,0.002788695541603912,0.022478202663519957
lightgbm,alert,45,valid,3,18646,0.03233937573742358,0.46739929607422637,0.5538971807628524,0.3583690987124464,12.095937762201007,0.5429427502522625,0.45993588952082826,0.0,0,cpu,0.003306197917054655,0.021778183095568133
lightgbm,alert,45,valid,4,9274,0.031917187836963554,0.537764497766322,0.5912162162162162,0.3779697624190065,10.615524949320683,0.45927013059474564,0.6277008941959935,0.0,0,cpu,0.008587430662057765,0.024201221263746533
lightgbm,alert,45,holdout,0,21975,0.030716723549488054,0.5514082898054674,0.5896296296296296,0.36247723132969034,12.178445360273036,0.5090333941731852,0.5833003105035006,0.0,0,cpu,0.006871348785998036,0.020820975426621036
lightgbm,alert,45,holdout,1,20656,0.030644848954298993,0.523566887871155,0.5955766192733017,0.3653100775193798,10.036413829298994,0.5992720740952543,0.5004993696094013,8.152059905999977,1,cpu,0.02190092005680815,0.021438674767626027
lightgbm,alert,45,holdout,2,20508,0.03510825043885313,0.5161429180887356,0.5805555555555556,0.40780487804878046,14.17524212834016,0.5049439224274785,0.5304429516522321,0.0,0,cpu,0.018863432299464074,0.021018535937193734
